Company_Name,Company_License,Shipment_ID,Origin,Destination,Planned_Route,Actual_Route,Planned_Timestamp,Actual_Timestamp,Delay_Hours,Delivered_Invoice_ID,Generated_Invoice_ID,Expected_Warehouse,Actual_Warehouse,Customer_Complaint,Route_Deviation,Invoice_Mismatch_Flag,Warehouse_Mismatch_Flag,Complaint_Count,True_Label,Company,Timestamp_Mismatch,Invoice_Mismatch,Warehouse_Mismatch
Karla Transports,LIC-001004,56b41d90-3d7b-4bae-943d-2dc0024a21f3,Rourkela,Meerut,Mumbai -> Kanpur via NH65,Siliguri -> Rourkela -> Noida via NH7,2019-12-13 04:12:38,2019-07-30 20:34:45,16.7524,GEN-f7190b,GEN-67fd23,Nagpur_WH,RedExpress Logistics_ALT_WH_21,Refund/Return,0,0,0,-1,0,LogiTrust,,,
Blue Dart,LIC-001021,3c958f5a-0778-4844-ba4a-ccf51bdc4b6a,Meerut,Pune,Cuttack -> Patna via NH23,Visakhapatnam -> Jaipur via NH8,2020-10-27 14:14:32,2018-06-24 20:24:01,25.1531,GEN-8f091b,GEN-31a1de,Rajkot_WH,RedExpress Logistics_ALT_WH_21,Refund/Return,0,0,0,2,0,SafeTrans,,,
VRL Logistics,LIC-001011,a303b989-ab43-4355-87c6-e634b4eda648,Rourkela,Siliguri,Rajkot -> Guwahati via NH18,Patna -> Visakhapatnam via NH1,2018-08-09 09:11:08,2019-09-12 11:37:11,15.2664,GEN-4d0dbb,GEN-44a357,Ahmedabad_WH,Gateway Distriparks_ALT_WH_19,1,1,0,1,1,1,LogiTrust,,1.0,1.0
Blue Dart,LIC-001002,05fb01a9-db8a-4254-8877-6d4bcbde796a,Jodhpur,Guwahati,Faridabad -> Hyderabad via NH26,Siliguri -> Madurai -> Udaipur via NH35,2018-12-11 00:09:17,2018-06-18 18:33:00,7.8148,DEL-ERR-31119,GEN-a6961f,Jodhpur_WH,Gateway Distriparks_ALT_WH_15,Refund/Return,1,0,0,0,0,LogiTrust,,,
Delhivery,LIC-001011,8fea4ac8-fe2b-431b-a0cc-faf836a28b35,Pune,Rajkot,Jodhpur -> Vadodara via NH27,Lucknow -> Amritsar via NH16,2020-03-24 21:43:36,2020-02-18 17:36:55,26.9736,GEN-523b5b,GEN-6cc355,Cuttack_WH,RedExpress Logistics_ALT_WH_48,Refund/Return,0,0,1,0,0,SafeTrans,,,
Prime Couriers,LIC-001024,6f672f4a-2dbb-4f85-a23f-09d2ece7e44b,Jalandhar,Meerut,Madurai -> Patna via NH61,Guwahati -> Rajkot -> Mysore via NH19,2019-04-12 13:34:46,2018-08-03 22:05:56,28.6159,GEN-316585,GEN-f923a2,Kolkata_WH,Bengaluru_WH,No Complaint,0,0,0,1,0,SafeTrans,,,
RedExpress Logistics,LIC-001010,d029576a-60e8-435b-9907-176784836185,Mysore,Vijayawada,Vadodara -> Bhagalpur via NH35,Rourkela -> Bhopal via NH32,2019-04-24 23:09:40,2019-11-11 16:32:41,22.8216,GEN-b04f66,GEN-5c9759,Siliguri_WH,Guwahati_WH,Refund/Return,1,0,0,2,1,GhostLogi,1.0,,
Gateway Distriparks,LIC-001010,ed313ef4-634a-45c8-8d76-e4dffbb3588d,Udaipur,Siliguri,Visakhapatnam -> Rourkela via NH5,Madurai -> Bhagalpur via NH16,2018-02-23 09:52:39,2018-07-18 12:34:48,30.9278,GEN-824752,GEN-564f89,Madurai_WH,Gateway Distriparks_ALT_WH_23,No Complaint,1,0,0,2,0,CargoPro,,,
UrbanMove Logistics,LIC-001023,241d2186-e6b9-4fbd-ba7b-68ba389c505a,Patna,Faridabad,Patna -> Thane via NH17,Madurai -> Vijayawada via NH33,2019-05-07 16:30:34,2018-07-10 13:21:20,22.8427,GEN-274eb0,GEN-ff8252,Kolkata_WH,Rivigo_ALT_WH_14,No Complaint,0,0,0,1,0,LogiTrust,,,
Sparex Couriers,LIC-001005,0061fc37-2708-46f9-8c7d-4d9fa4abc716,Pimpri,Patna,Pimpri -> Surat via NH55,Lucknow -> Mysore via NH50,2020-10-25 06:30:38,2020-02-14 18:54:56,24.7127,GEN-76edf6,GEN-715b99,Hyderabad_WH,Mahindra Logistics_ALT_WH_32,Refund/Return,1,0,0,-2,1,LogiTrust,1.0,,1.0
